investor_id,avg_gap,sip_count,status
INV002590,50.22222222222222,9,At Risk
INV002598,51.375,8,At Risk
INV002602,66.0,7,At Risk
INV002613,65.0,7,At Risk
INV002622,76.66666666666667,6,At Risk
INV002632,65.57142857142857,7,At Risk
INV002640,70.0,6,At Risk
INV002645,45.166666666666664,6,At Risk
INV002654,61.857142857142854,7,At Risk
INV002659,62.333333333333336,6,At Risk
INV002666,53.166666666666664,6,At Risk
INV002671,77.16666666666667,6,At Risk
INV002673,65.0,7,At Risk
INV002675,63.857142857142854,7,At Risk
INV002681,83.66666666666667,6,At Risk
INV002688,37.0,8,At Risk
INV002689,50.0,7,At Risk
INV002693,45.833333333333336,6,At Risk
INV002697,55.333333333333336,6,At Risk
INV002700,79.83333333333333,6,At Risk
INV002704,59.142857142857146,7,At Risk
INV002705,22.571428571428573,7,Active
INV002711,65.57142857142857,7,At Risk
INV002712,46.8,10,At Risk
INV002723,37.75,8,At Risk
INV002726,45.57142857142857,7,At Risk
INV002732,70.71428571428571,7,At Risk
INV002733,51.57142857142857,7,At Risk
INV002735,68.16666666666667,6,At Risk
INV002737,58.42857142857143,7,At Risk
INV002744,52.888888888888886,9,At Risk
INV002746,68.0,7,At Risk
INV002751,41.5,6,At Risk
INV002767,55.333333333333336,6,At Risk
INV002769,82.0,6,At Risk
INV002772,74.5,6,At Risk
INV002783,64.0,6,At Risk
INV002786,76.33333333333333,6,At Risk
INV002793,59.333333333333336,6,At Risk
INV002794,56.166666666666664,6,At Risk
INV002800,63.5,6,At Risk
INV002803,64.83333333333333,6,At Risk
INV002804,59.857142857142854,7,At Risk
INV002808,59.666666666666664,6,At Risk
INV002810,32.285714285714285,7,Active
INV002813,49.0,6,At Risk
INV002822,53.0,6,At Risk
INV002824,71.83333333333333,6,At Risk
INV002835,82.33333333333333,6,At Risk
INV002838,56.714285714285715,7,At Risk
INV002843,43.142857142857146,7,At Risk
INV002847,52.666666666666664,9,At Risk
INV002850,53.166666666666664,6,At Risk
INV002859,76.5,6,At Risk
INV002879,72.16666666666667,6,At Risk
INV002886,44.333333333333336,6,At Risk
INV002891,72.71428571428571,7,At Risk
INV002893,50.0,8,At Risk
INV002904,49.333333333333336,6,At Risk
INV002909,82.33333333333333,6,At Risk
INV002913,73.66666666666667,6,At Risk
INV002915,49.285714285714285,7,At Risk
INV002921,53.333333333333336,6,At Risk
INV002927,40.285714285714285,7,At Risk
INV002935,48.0,6,At Risk
INV002937,67.16666666666667,6,At Risk
INV002939,60.5,6,At Risk
INV002942,55.5,8,At Risk
INV002945,65.0,7,At Risk
INV002947,64.16666666666667,6,At Risk
INV002950,45.857142857142854,7,At Risk
INV002951,51.833333333333336,6,At Risk
INV002961,84.66666666666667,6,At Risk
INV002974,51.333333333333336,6,At Risk
INV002994,58.166666666666664,6,At Risk
INV003000,67.0,6,At Risk
INV003003,58.25,8,At Risk
INV003005,53.142857142857146,7,At Risk
INV003007,48.25,8,At Risk
INV003009,38.125,8,At Risk
INV003011,64.16666666666667,6,At Risk
INV003015,54.666666666666664,6,At Risk
INV003025,35.285714285714285,7,At Risk
INV003036,57.714285714285715,7,At Risk
INV003037,79.5,6,At Risk
INV003043,73.83333333333333,6,At Risk
INV003044,71.16666666666667,6,At Risk
INV003047,70.14285714285714,7,At Risk
INV003054,78.66666666666667,6,At Risk
INV003060,79.0,6,At Risk
INV003063,57.833333333333336,6,At Risk
INV003070,54.5,8,At Risk
INV003075,57.42857142857143,7,At Risk
INV003078,69.16666666666667,6,At Risk
INV003082,46.42857142857143,7,At Risk
INV003091,50.875,8,At Risk
INV003097,62.714285714285715,7,At Risk
INV003105,65.5,6,At Risk
INV003113,66.85714285714286,7,At Risk
INV003117,66.57142857142857,7,At Risk
INV003134,76.83333333333333,6,At Risk
INV003139,55.166666666666664,6,At Risk
INV003140,57.0,7,At Risk
INV003141,67.5,6,At Risk
INV003144,82.5,6,At Risk
INV003146,59.5,8,At Risk
INV003153,40.666666666666664,6,At Risk
INV003158,55.625,8,At Risk
INV003179,56.25,8,At Risk
INV003187,58.25,8,At Risk
INV003189,55.125,8,At Risk
INV003196,80.33333333333333,6,At Risk
INV003205,67.66666666666667,6,At Risk
INV003211,69.0,6,At Risk
INV003215,60.833333333333336,6,At Risk
INV003221,61.166666666666664,6,At Risk
INV003222,81.5,6,At Risk
INV003223,67.71428571428571,7,At Risk
INV003228,70.16666666666667,6,At Risk
INV003230,67.5,6,At Risk
INV003231,83.0,6,At Risk
INV003236,51.125,8,At Risk
INV003242,61.0,6,At Risk
INV003256,51.0,6,At Risk
INV003271,61.166666666666664,6,At Risk
INV003273,60.142857142857146,7,At Risk
INV003277,53.714285714285715,7,At Risk
INV003279,63.375,8,At Risk
INV003289,64.83333333333333,6,At Risk
INV003301,59.375,8,At Risk
INV003304,44.22222222222222,9,At Risk
INV003308,56.75,8,At Risk
INV003311,48.0,8,At Risk
INV003314,73.5,6,At Risk
INV003317,44.142857142857146,7,At Risk
INV003320,45.285714285714285,7,At Risk
INV003336,72.33333333333333,6,At Risk
INV003338,37.5,8,At Risk
INV003352,68.14285714285714,7,At Risk
INV003360,59.42857142857143,7,At Risk
INV003370,63.333333333333336,6,At Risk
INV003374,56.5,6,At Risk
INV003375,52.714285714285715,7,At Risk
INV003379,75.16666666666667,6,At Risk
INV003393,63.714285714285715,7,At Risk
INV003398,55.42857142857143,7,At Risk
INV003404,50.285714285714285,7,At Risk
INV003405,41.0,7,At Risk
INV003406,59.0,7,At Risk
INV003407,57.42857142857143,7,At Risk
INV003422,84.66666666666667,6,At Risk
INV003424,73.16666666666667,6,At Risk
INV003432,61.333333333333336,6,At Risk
INV003435,73.83333333333333,6,At Risk
INV003448,74.5,6,At Risk
INV003450,47.666666666666664,9,At Risk
INV003455,35.5,6,At Risk
INV003457,60.5,6,At Risk
INV003458,67.85714285714286,7,At Risk
INV003475,56.0,8,At Risk
INV003478,56.625,8,At Risk
INV003479,65.71428571428571,7,At Risk
INV003491,59.125,8,At Risk
INV003495,49.22222222222222,9,At Risk
INV003506,67.0,6,At Risk
INV003509,60.875,8,At Risk
INV003511,65.57142857142857,7,At Risk
INV003524,64.16666666666667,6,At Risk
INV003528,58.625,8,At Risk
INV003534,52.714285714285715,7,At Risk
INV003558,39.166666666666664,6,At Risk
INV003559,48.333333333333336,9,At Risk
INV003562,80.5,6,At Risk
INV003564,71.0,7,At Risk
INV003580,72.16666666666667,6,At Risk
INV003581,51.285714285714285,7,At Risk
INV003582,49.333333333333336,6,At Risk
INV003586,54.285714285714285,7,At Risk
INV003598,68.0,7,At Risk
INV003601,45.25,8,At Risk
INV003611,68.83333333333333,6,At Risk
INV003613,67.42857142857143,7,At Risk
INV003627,59.166666666666664,6,At Risk
INV003630,52.0,6,At Risk
INV003635,47.111111111111114,9,At Risk
INV003641,67.0,7,At Risk
INV003642,53.166666666666664,6,At Risk
INV003650,33.9,10,Active
INV003654,60.5,6,At Risk
INV003655,49.77777777777778,9,At Risk
INV003658,70.71428571428571,7,At Risk
INV003669,53.5,6,At Risk
INV003670,70.85714285714286,7,At Risk
INV003673,68.85714285714286,7,At Risk
INV003681,51.0,8,At Risk
INV003693,71.33333333333333,6,At Risk
INV003695,51.666666666666664,6,At Risk
INV003697,76.66666666666667,6,At Risk
INV003702,72.66666666666667,6,At Risk
INV003708,60.5,6,At Risk
INV003713,81.5,6,At Risk
INV003722,50.666666666666664,6,At Risk
INV003724,68.0,6,At Risk
INV003734,59.0,7,At Risk
INV003735,45.857142857142854,7,At Risk
INV003736,77.16666666666667,6,At Risk
INV003740,51.833333333333336,6,At Risk
INV003741,67.66666666666667,6,At Risk
INV003748,56.142857142857146,7,At Risk
INV003757,81.83333333333333,6,At Risk
INV003761,51.857142857142854,7,At Risk
INV003766,65.28571428571429,7,At Risk
INV003767,47.5,8,At Risk
INV003771,50.77777777777778,9,At Risk
INV003772,34.5,8,Active
INV003780,57.42857142857143,7,At Risk
INV003781,64.83333333333333,6,At Risk
INV003787,63.25,8,At Risk
INV003793,72.33333333333333,6,At Risk
INV003795,67.66666666666667,6,At Risk
INV003811,78.66666666666667,6,At Risk
INV003812,50.833333333333336,6,At Risk
INV003815,72.5,6,At Risk
INV003824,71.5,6,At Risk
INV003828,30.666666666666668,6,Active
INV003829,48.55555555555556,9,At Risk
INV003844,68.5,6,At Risk
INV003847,50.0,7,At Risk
INV003851,57.833333333333336,6,At Risk
INV003862,60.166666666666664,6,At Risk
INV003865,85.16666666666667,6,At Risk
INV003872,45.375,8,At Risk
INV003880,68.57142857142857,7,At Risk
INV003892,55.22222222222222,9,At Risk
INV003903,50.285714285714285,7,At Risk
INV003905,62.5,6,At Risk
INV003906,55.111111111111114,9,At Risk
INV003913,61.42857142857143,7,At Risk
INV003920,66.85714285714286,7,At Risk
INV003938,52.5,6,At Risk
INV003940,70.66666666666667,6,At Risk
INV003943,42.5,8,At Risk
INV003945,56.333333333333336,6,At Risk
INV003946,69.16666666666667,6,At Risk
INV003948,43.666666666666664,6,At Risk
INV003952,54.666666666666664,6,At Risk
INV003962,68.71428571428571,7,At Risk
INV003964,51.22222222222222,9,At Risk
INV003975,50.142857142857146,7,At Risk
INV003978,68.14285714285714,7,At Risk
INV003979,56.0,7,At Risk
INV003981,67.66666666666667,6,At Risk
INV004001,40.285714285714285,7,At Risk
INV004004,40.77777777777778,9,At Risk
INV004005,73.66666666666667,6,At Risk
INV004007,38.833333333333336,6,At Risk
INV004009,62.285714285714285,7,At Risk
INV004014,61.875,8,At Risk
INV004017,40.5,6,At Risk
INV004023,52.0,9,At Risk
INV004038,71.66666666666667,6,At Risk
INV004063,56.57142857142857,7,At Risk
INV004066,75.16666666666667,6,At Risk
INV004070,67.66666666666667,6,At Risk
INV004079,71.33333333333333,6,At Risk
INV004085,68.33333333333333,6,At Risk
INV004116,54.888888888888886,9,At Risk
INV004125,61.625,8,At Risk
INV004135,50.111111111111114,9,At Risk
INV004151,63.142857142857146,7,At Risk
INV004153,60.0,7,At Risk
INV004154,46.72727272727273,11,At Risk
INV004172,63.0,7,At Risk
INV004175,67.85714285714286,7,At Risk
INV004177,45.42857142857143,7,At Risk
INV004191,77.16666666666667,6,At Risk
INV004196,78.33333333333333,6,At Risk
INV004202,47.625,8,At Risk
INV004203,66.57142857142857,7,At Risk
INV004212,69.33333333333333,6,At Risk
INV004216,82.0,6,At Risk
INV004228,72.33333333333333,6,At Risk
INV004239,61.142857142857146,7,At Risk
INV004241,53.666666666666664,9,At Risk
INV004243,55.714285714285715,7,At Risk
INV004246,34.166666666666664,6,Active
INV004248,42.666666666666664,6,At Risk
INV004258,49.666666666666664,6,At Risk
INV004266,61.833333333333336,6,At Risk
INV004267,53.333333333333336,6,At Risk
INV004270,69.66666666666667,6,At Risk
INV004279,50.285714285714285,7,At Risk
INV004281,41.714285714285715,7,At Risk
INV004282,52.857142857142854,7,At Risk
INV004285,76.16666666666667,6,At Risk
INV004288,72.83333333333333,6,At Risk
INV004289,45.9,10,At Risk
INV004295,44.75,8,At Risk
INV004297,41.875,8,At Risk
INV004299,64.14285714285714,7,At Risk
INV004306,57.0,6,At Risk
INV004308,84.66666666666667,6,At Risk
INV004319,60.5,8,At Risk
INV004321,42.0,8,At Risk
INV004324,77.66666666666667,6,At Risk
INV004326,40.111111111111114,9,At Risk
INV004332,64.71428571428571,7,At Risk
INV004335,64.42857142857143,7,At Risk
INV004338,48.888888888888886,9,At Risk
INV004349,72.5,6,At Risk
INV004357,72.42857142857143,7,At Risk
INV004358,45.857142857142854,7,At Risk
INV004361,61.57142857142857,7,At Risk
INV004400,46.57142857142857,7,At Risk
INV004401,69.85714285714286,7,At Risk
INV004410,40.9,10,At Risk
INV004412,82.33333333333333,6,At Risk
INV004413,69.0,7,At Risk
INV004414,53.857142857142854,7,At Risk
INV004427,50.8,10,At Risk
INV004447,49.833333333333336,6,At Risk
INV004452,81.0,6,At Risk
INV004459,53.833333333333336,6,At Risk
INV004460,42.5,8,At Risk
INV004464,62.5,6,At Risk
INV004468,76.83333333333333,6,At Risk
INV004472,50.666666666666664,6,At Risk
INV004473,73.33333333333333,6,At Risk
INV004475,67.83333333333333,6,At Risk
INV004477,58.714285714285715,7,At Risk
INV004502,74.5,6,At Risk
INV004504,55.142857142857146,7,At Risk
INV004521,54.5,6,At Risk
INV004528,54.0,6,At Risk
INV004531,60.0,7,At Risk
INV004533,55.0,6,At Risk
INV004542,34.0,6,Active
INV004547,67.5,6,At Risk
INV004555,53.142857142857146,7,At Risk
INV004560,48.375,8,At Risk
INV004563,64.83333333333333,6,At Risk
INV004574,54.57142857142857,7,At Risk
INV004579,43.857142857142854,7,At Risk
INV004581,72.14285714285714,7,At Risk
INV004594,59.142857142857146,7,At Risk
INV004602,59.625,8,At Risk
INV004607,56.0,7,At Risk
INV004608,55.0,7,At Risk
INV004611,51.166666666666664,6,At Risk
INV004617,39.25,8,At Risk
INV004621,54.25,8,At Risk
INV004629,64.57142857142857,7,At Risk
INV004630,50.625,8,At Risk
INV004631,64.71428571428571,7,At Risk
INV004633,78.16666666666667,6,At Risk
INV004635,58.666666666666664,6,At Risk
INV004638,54.333333333333336,6,At Risk
INV004640,68.33333333333333,6,At Risk
INV004646,64.5,6,At Risk
INV004647,70.66666666666667,6,At Risk
INV004661,69.71428571428571,7,At Risk
INV004672,72.0,6,At Risk
INV004680,47.166666666666664,6,At Risk
INV004682,42.25,8,At Risk
INV004701,20.0,6,Active
INV004712,48.57142857142857,7,At Risk
INV004715,56.833333333333336,6,At Risk
INV004716,74.0,6,At Risk
INV004737,54.55555555555556,9,At Risk
INV004741,72.33333333333333,6,At Risk
INV004755,61.166666666666664,6,At Risk
INV004763,83.5,6,At Risk
INV004770,72.85714285714286,7,At Risk
INV004776,57.375,8,At Risk
INV004780,69.5,6,At Risk
INV004785,66.16666666666667,6,At Risk
INV004787,72.33333333333333,6,At Risk
INV004798,53.666666666666664,6,At Risk
INV004805,44.666666666666664,6,At Risk
INV004807,36.857142857142854,7,At Risk
INV004819,62.0,6,At Risk
INV004825,70.0,6,At Risk
INV004834,38.625,8,At Risk
INV004840,41.0,6,At Risk
INV004843,50.857142857142854,7,At Risk
INV004844,66.66666666666667,6,At Risk
INV004847,73.5,6,At Risk
INV004848,54.125,8,At Risk
INV004863,68.0,6,At Risk
INV004864,43.285714285714285,7,At Risk
INV004865,76.33333333333333,6,At Risk
INV004868,56.0,7,At Risk
INV004871,69.14285714285714,7,At Risk
INV004877,80.5,6,At Risk
INV004889,70.66666666666667,6,At Risk
INV004891,55.857142857142854,7,At Risk
INV004911,63.666666666666664,6,At Risk
INV004916,75.5,6,At Risk
INV004917,51.0,6,At Risk
INV004924,59.75,8,At Risk
INV004925,70.83333333333333,6,At Risk
INV004926,66.28571428571429,7,At Risk
INV004927,34.166666666666664,6,Active
INV004953,67.16666666666667,6,At Risk
INV004956,59.142857142857146,7,At Risk
INV004958,73.16666666666667,6,At Risk
INV004973,55.0,8,At Risk
INV004974,52.42857142857143,7,At Risk
INV004978,63.833333333333336,6,At Risk
INV004981,49.142857142857146,7,At Risk
INV004983,57.666666666666664,6,At Risk
INV004984,75.33333333333333,6,At Risk
INV004986,81.33333333333333,6,At Risk
INV004992,81.5,6,At Risk
INV004996,46.333333333333336,9,At Risk
INV004997,71.0,6,At Risk
